,protocol,io,srcport,dstport,payload
0,1,1,0,80,47.475
1,1,0,80,0,0.09130017207571331
2,1,1,0,80,57.1375
3,1,1,0,80,453.85
4,1,0,80,0,0.09656248749449758
5,1,0,80,0,19.20757133138581
6,1,1,0,80,53.95
7,1,0,80,0,18.197326823802474
8,1,1,0,80,57.1375
9,1,0,80,0,10.864400336147906
10,1,1,0,80,57.1375
11,1,1,0,80,507.05
12,1,0,80,0,0.10676697747008684
13,1,1,0,80,44.2875
14,1,0,80,0,0.09129286543155536
15,1,1,0,80,44.2875
16,1,0,80,0,0.09128921254801536
17,1,1,0,80,41.1
18,1,0,80,0,0.0912855599567879
19,1,1,0,80,41.1
20,1,0,80,0,0.08618068336400736
21,1,1,0,80,47.475
22,1,0,80,0,0.09637927585517103
23,1,1,0,80,60.325
24,1,1,0,80,53.95
25,1,1,0,80,57.1375
26,1,1,0,80,522.9
27,1,0,80,0,0.09655475971349686
28,1,1,0,80,53.95
29,1,1,0,80,63.5125
30,1,1,0,80,544.9625
31,1,0,80,0,0.09144926376440461
32,1,1,0,80,460.05
33,1,0,80,0,0.09144194606705609
34,1,1,0,80,532.3625
35,1,0,80,0,0.10164846156923939
36,1,1,0,80,548.1625
37,1,0,80,0,0.10674134826965392
38,1,0,80,0,11.008763154735705
39,1,1,0,80,53.95
40,1,1,0,80,500.7625
41,1,0,80,0,1.6678337067861715
42,1,1,0,80,53.95
43,1,1,0,80,463.2375
44,1,0,80,0,12.61994878770905
45,1,1,0,80,53.95
46,1,1,0,80,532.2625
47,1,0,80,0,7.37310446925139
48,1,1,0,80,50.7625
49,1,0,80,0,6.810362072414483
50,1,1,0,80,60.325
51,1,0,80,0,2.462166379896763
52,1,1,0,80,548.0875
53,1,0,80,0,5.245808826471412
54,1,1,0,80,50.7625
55,1,0,80,0,1.9815140845070423
56,1,0,80,0,18.36202688645275
57,1,1,0,80,57.1375
58,1,0,80,0,18.703808914139394
59,1,1,0,80,57.1375
60,1,0,80,0,4.359026166279907
61,1,1,0,80,53.95
62,1,1,0,80,513.4
63,1,0,80,0,12.659817534312353
64,1,1,0,80,60.325
65,1,0,80,0,38.1502060906799
66,1,1,0,80,63.5125
67,1,0,80,0,37.11955260314539
68,1,1,0,80,63.5125
69,1,0,80,0,13.26407619352515
70,1,1,0,80,60.325
71,1,1,0,80,53.95
72,1,0,0,80,49.025
73,1,1,0,80,466.475
74,1,0,80,0,21.425227099923966
75,1,1,0,80,57.1375
76,1,0,80,0,25.093741246148305
77,1,1,0,80,57.1375
78,1,0,80,0,3.8024330705510425
79,1,0,80,0,41.8968946336388
80,1,0,80,0,11.58663812077314
81,1,0,80,0,52.04507983512745
82,1,1,0,80,60.325
83,1,0,80,0,56.53833686822202
84,1,0,80,0,58.716995478010325
85,1,1,0,80,60.325
86,1,0,80,0,14.889691464244267
87,1,1,0,80,60.325
88,1,0,0,443,10.580135440180587
89,1,1,443,0,0.12339993080781872
90,1,0,0,443,12.325056433408578
91,1,0,0,443,60.08577878103837
92,1,1,443,0,0.1235729112610275
93,1,1,443,0,3.897184743124027
94,1,0,0,443,12.900677200902935
95,1,1,443,0,3.603507178688808
96,1,0,0,443,12.325056433408578
97,1,1,443,0,4.02951478982875
98,1,0,0,443,11.749435665914222
99,1,1,443,0,0.6868837571354437
100,1,0,0,443,12.325056433408578
101,1,0,0,443,33.442437923250566
102,1,0,0,443,119.72686230248307
103,1,1,443,0,0.9771665801764401
104,1,0,0,443,11.749435665914222
105,1,1,443,0,0.9330565646081993
